age,gender,state,occupation,income,education,category,disability_status,bpl_status,employment_status,family_size,scheme_1,scheme_2,scheme_3,scheme_4,scheme_5,scheme_6,scheme_7,scheme_8,scheme_9,scheme_10,scheme_11,scheme_12
9,Male,Karnataka,Student,58513.0,Below 10th,General,No,No,Student,2,0,0,0,0,0,0,0,0,0,0,0,0
32,Male,Rajasthan,Private Job,155649.0,Postgraduate,OBC,No,No,Employed,4,0,0,0,0,1,1,0,0,0,1,1,0
84,Other,Karnataka,Retired,23407.0,10th Pass,ST,No,No,Retired,4,0,0,0,0,0,0,0,0,0,1,1,0
48,Male,Delhi,Unemployed,12676.0,12th Pass,SC,No,Yes,Unemployed,8,0,0,1,0,1,0,0,0,0,1,1,0
38,Male,Uttar Pradesh,Farmer,309428.0,Postgraduate,SC,Yes,No,Farmer,2,0,0,0,0,1,1,0,0,0,0,1,0
62,Other,Gujarat,Retired,171722.0,10th Pass,General,No,No,Retired,5,0,0,0,0,1,0,0,0,0,1,1,0
16,Other,Tamil Nadu,Student,97040.0,10th Pass,SC,Yes,Yes,Student,3,0,0,0,1,0,0,0,0,0,0,1,0
17,Other,Gujarat,Student,121178.0,12th Pass,OBC,No,No,Student,1,0,0,0,1,0,0,0,0,0,0,1,0
34,Male,Tamil Nadu,Unemployed,35093.0,Below 10th,OBC,No,No,Unemployed,8,0,0,0,0,1,1,0,0,0,1,1,0
9,Other,Bihar,Student,69436.0,10th Pass,SC,No,Yes,Student,7,0,0,0,0,0,0,0,0,0,0,0,0
51,Male,Punjab,Private Job,1134977.0,Below 10th,General,Yes,No,Employed,3,0,0,0,0,1,0,0,0,0,0,1,0
85,Male,Uttar Pradesh,Private Job,233227.0,Graduate,ST,No,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
75,Male,Delhi,Government Job,1226108.0,12th Pass,SC,Yes,No,Employed,5,0,0,0,0,0,0,0,0,0,0,1,0
52,Male,Bihar,Farmer,158091.0,10th Pass,General,No,No,Farmer,4,1,0,0,0,1,0,0,0,0,1,1,0
24,Female,Punjab,Private Job,1212232.0,Below 10th,SC,No,No,Employed,1,0,0,0,0,1,1,0,0,0,0,1,0
12,Female,Karnataka,Student,15184.0,Postgraduate,General,Yes,Yes,Student,2,0,0,0,0,0,0,0,0,0,0,1,0
73,Male,Punjab,Government Job,1096739.0,Postgraduate,OBC,No,No,Employed,7,0,0,0,0,0,0,0,0,0,0,1,0
32,Other,Gujarat,Government Job,753716.0,Graduate,SC,No,No,Employed,8,0,0,0,0,1,1,0,0,0,0,1,0
21,Male,Gujarat,Farmer,197254.0,Postgraduate,OBC,Yes,No,Farmer,1,1,0,0,0,1,1,0,0,0,1,1,0
6,Other,Maharashtra,Student,17668.0,12th Pass,General,Yes,No,Student,8,0,0,0,0,0,0,0,0,0,0,0,0
32,Other,Punjab,Government Job,1297564.0,Postgraduate,ST,Yes,No,Employed,8,0,0,0,0,1,1,0,0,0,0,1,0
42,Male,Delhi,Farmer,245994.0,Graduate,ST,No,No,Farmer,1,1,0,0,0,1,0,0,0,0,0,1,0
17,Male,Uttar Pradesh,Government Job,811569.0,Below 10th,OBC,Yes,No,Employed,4,0,0,0,0,0,0,0,0,0,0,1,0
73,Female,Punjab,Unemployed,24050.0,12th Pass,ST,Yes,Yes,Unemployed,2,0,0,1,0,0,0,0,0,1,1,1,0
20,Other,Delhi,Farmer,303423.0,Below 10th,OBC,Yes,No,Farmer,7,0,0,0,0,1,1,0,0,0,0,1,0
61,Female,Gujarat,Retired,230260.0,10th Pass,ST,Yes,No,Retired,7,0,0,0,0,1,0,0,0,0,0,1,0
38,Female,Karnataka,Unemployed,91303.0,Postgraduate,ST,Yes,No,Unemployed,4,0,0,0,0,1,1,0,0,0,1,1,0
23,Other,Rajasthan,Farmer,184419.0,Below 10th,ST,Yes,No,Farmer,1,1,0,0,0,1,1,0,0,0,1,1,0
